prod_category,prod_name,prod_weight,prod_price,offer_price,prod_img
basmati,India Gate,50kg,1200,950,default_bag.png
basmati,Fortune Traditional Basmati Rice,50kg,1250,950,fortune_traditional_basmati.jpg
basmati,Dawat Rojana Super Basmati Rice,50kg,1300,950,dawat_rojana_basmati.jpg
sona_masuri,India Gate,50kg,900,750,default_bag.png
basmati,Dawat Biryani Basmati Rice,50kg,1100,900,dawat-biryani-basmati.jpg
sona_masuri,Kurnool Sona Masoori 6 months,25kg,1205,1150,default_bag.png
sona_masuri,Kurnool Sona Masoori 12 months,25kg,1350,1250,default_bag.png
sona_masuri,Kurnool Sona Masoori 18 months,25kg,1500,1400,default_bag.png
hmt_rice,HMT RICE 6 MONTHS OLD,25kg,1200,1100,default_bag.png
hmt_rice,HMT Silky Rice,25kg,1400,1300,default_bag.png
brown_rice,Unpolished Steam Rice,25kg,1300,1240,default_bag.png
brown_rice,Unpolished Rice,25kg,1500,1400,default_bag.png
bpt_rice,BPT 6months Rice,25kg,1350,1250,default_bag.png
jai_srhiram_rice,Jai Sree Ram 1 year old,25kg,1450,1350,default_bag.png
jai_srhiram_rice,Jai Sree Ram 18 months ols,25kg,1800,1650,default_bag.png
boiled_rice,Boiled Rice,25kg,950,800,default_bag.png
idly_rice,Idly Rice,25kg,1000,900,default_bag.png
